https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1659610800,2022-08-04 11:00:00,ETH/USDT,1615.14,1619.25,1613.99,1619.25,14.46649062,23424.864936435
1659607200,2022-08-04 10:00:00,ETH/USDT,1625.20,1625.20,1615.85,1615.85,3.91897594,6332.477272649
1659603600,2022-08-04 09:00:00,ETH/USDT,1623.79,1623.79,1618.77,1622.60,0.04133193,67.065189618
1659600000,2022-08-04 08:00:00,ETH/USDT,1622.93,1622.93,1615.36,1615.36,3.58168809,5785.7156730624
1659596400,2022-08-04 07:00:00,ETH/USDT,1625.96,1630.50,1625.96,1626.07,13.27470074,21585.5926322918
1659592800,2022-08-04 06:00:00,ETH/USDT,1651.77,1651.77,1622.19,1622.70,191.64175675,310977.07867822505
1659589200,2022-08-04 05:00:00,ETH/USDT,1659.96,1659.96,1649.35,1652.77,8.55166922,14133.942336739401
1659585600,2022-08-04 04:00:00,ETH/USDT,1656.83,1656.84,1653.03,1654.35,3.90813515,6465.4233854025
1659582000,2022-08-04 03:00:00,ETH/USDT,1654.96,1654.96,1647.67,1649.68,16.64814062,27464.104618001602
1659578400,2022-08-04 02:00:00,ETH/USDT,1649.48,1656.93,1643.14,1653.22,8.94278166,14784.3854959452
1659574800,2022-08-04 01:00:00,ETH/USDT,1652.40,1657.70,1645.16,1649.97,9.98361903,16472.6718909291
1659571200,2022-08-04 00:00:00,ETH/USDT,1619.32,1637.00,1618.32,1635.48,11.54268861,18877.836367882803
1659567600,2022-08-03 23:00:00,ETH/USDT,1619.83,1619.83,1608.97,1619.54,8.33209617,13494.1630311618
1659564000,2022-08-03 22:00:00,ETH/USDT,1637.96,1637.96,1618.29,1619.89,15.49451329,25099.407133338103
1659560400,2022-08-03 21:00:00,ETH/USDT,1642.47,1647.68,1636.66,1636.66,3.86056556,6318.4332294296
1659556800,2022-08-03 20:00:00,ETH/USDT,1656.50,1656.50,1636.20,1642.18,12.95713711,21277.9514192998
1659553200,2022-08-03 19:00:00,ETH/USDT,1667.55,1667.55,1653.05,1653.05,10.74132403,17755.9456877915
1659549600,2022-08-03 18:00:00,ETH/USDT,1657.66,1667.55,1657.66,1667.55,5.99978463,10004.9408597565
1659546000,2022-08-03 17:00:00,ETH/USDT,1665.39,1668.06,1659.28,1662.58,12.09865692,20114.9850220536
1659542400,2022-08-03 16:00:00,ETH/USDT,1654.60,1666.24,1654.60,1666.24,5.76490124,9605.709042137602
1659538800,2022-08-03 15:00:00,ETH/USDT,1657.65,1659.58,1652.04,1655.79,3.20596296,5308.4014095384
1659535200,2022-08-03 14:00:00,ETH/USDT,1668.42,1668.42,1649.46,1656.25,3.98216168,6595.4552825
1659531600,2022-08-03 13:00:00,ETH/USDT,1657.64,1663.06,1654.69,1663.06,0.32328972,537.6502017432
1659528000,2022-08-03 12:00:00,ETH/USDT,1669.48,1681.52,1660.96,1661.37,0.49514926,822.6261260861999
1659524400,2022-08-03 11:00:00,ETH/USDT,1659.06,1670.92,1401.01,1663.41,8.82288069,14676.067968552901
1659520800,2022-08-03 10:00:00,ETH/USDT,1654.16,1661.51,1654.16,1658.31,4.68312615,7766.074925806499
1659517200,2022-08-03 09:00:00,ETH/USDT,1653.90,1664.57,1653.10,1654.63,11.27635032,18658.187529981602
1659513600,2022-08-03 08:00:00,ETH/USDT,1635.15,1650.90,1634.57,1646.65,2.34330128,3858.5970527120003
1659510000,2022-08-03 07:00:00,ETH/USDT,1632.45,1633.36,1627.21,1627.21,7.60421532,12373.6552108572
1659506400,2022-08-03 06:00:00,ETH/USDT,1639.69,1639.69,1639.69,1639.69,0.03034110,49.749998259
1659502800,2022-08-03 05:00:00,ETH/USDT,1614.71,1629.06,1614.56,1629.06,9.38907923,15295.3734104238
1659499200,2022-08-03 04:00:00,ETH/USDT,1618.53,1621.05,1617.57,1617.57,3.45170590,5583.375912662999
1659495600,2022-08-03 03:00:00,ETH/USDT,1615.04,1615.04,1615.04,1615.04,1.88800174,3049.1983301696
1659492000,2022-08-03 02:00:00,ETH/USDT,1616.44,1616.44,1604.77,1608.21,4.97896463,8007.2207076123
1659488400,2022-08-03 01:00:00,ETH/USDT,1592.67,1618.24,1591.88,1611.69,20.71111836,33379.9023496284
1659484800,2022-08-03 00:00:00,ETH/USDT,1634.52,1637.71,1597.86,1597.86,40.62319436,64910.1773400696
1659481200,2022-08-02 23:00:00,ETH/USDT,1650.16,1650.16,1627.48,1630.76,49.39574823,80552.6103835548
1659477600,2022-08-02 22:00:00,ETH/USDT,1643.84,1643.84,1643.84,1643.84,0.16227976,266.7619606784
1659474000,2022-08-02 21:00:00,ETH/USDT,1646.69,1651.65,1640.17,1651.65,6.50421857,10742.692601140501
1659470400,2022-08-02 20:00:00,ETH/USDT,1632.47,1649.70,1632.46,1648.61,13.09615138,21590.4461265818
1659466800,2022-08-02 19:00:00,ETH/USDT,1628.50,1647.37,1626.55,1638.86,16.33211438,26766.0489728068
1659463200,2022-08-02 18:00:00,ETH/USDT,1651.62,1659.27,1642.05,1642.05,10.14098992,16652.012498136002
1659459600,2022-08-02 17:00:00,ETH/USDT,1672.37,1674.86,1648.30,1648.72,11.48794157,18940.3990252904
1659456000,2022-08-02 16:00:00,ETH/USDT,1638.39,1672.12,1635.78,1665.49,13.23346348,22040.2010913052
1659452400,2022-08-02 15:00:00,ETH/USDT,1633.16,1713.74,1610.45,1610.45,12.23613458,19705.682934361
1659448800,2022-08-02 14:00:00,ETH/USDT,1577.03,1632.29,1577.03,1620.69,13.24855481,21471.8002950189
1659445200,2022-08-02 13:00:00,ETH/USDT,1571.33,1581.97,1571.33,1581.97,3.93335744,6222.4534693568
1659441600,2022-08-02 12:00:00,ETH/USDT,1581.40,1581.40,1565.44,1572.00,39.22248477,61657.74605844
1659438000,2022-08-02 11:00:00,ETH/USDT,1587.06,1593.44,1586.27,1593.44,20.39708487,32501.530915252803
1659434400,2022-08-02 10:00:00,ETH/USDT,1565.44,1601.12,1565.44,1601.12,16.11102104,25795.6780075648
1659430800,2022-08-02 09:00:00,ETH/USDT,1578.35,1578.35,1560.00,1566.22,9.06570572,14198.889612778401
1659427200,2022-08-02 08:00:00,ETH/USDT,1588.48,1588.48,1581.27,1581.27,2.61984196,4142.6774960892
1659423600,2022-08-02 07:00:00,ETH/USDT,1577.83,1595.46,1577.83,1595.46,3.22652985,5147.799314481
1659420000,2022-08-02 06:00:00,ETH/USDT,1582.80,1587.78,1582.80,1587.78,2.02889443,3221.4379980654
1659416400,2022-08-02 05:00:00,ETH/USDT,1579.62,1583.55,1579.62,1582.61,5.79945655,9178.2779305955
1659412800,2022-08-02 04:00:00,ETH/USDT,1571.14,1571.14,1571.13,1571.13,0.01567199,24.622733648700002
1659409200,2022-08-02 03:00:00,ETH/USDT,1582.25,1582.66,1570.00,1577.16,29.22134095,46086.730092702
1659405600,2022-08-02 02:00:00,ETH/USDT,1610.14,1610.14,1585.00,1596.28,34.76871739,55500.6081953092
1659402000,2022-08-02 01:00:00,ETH/USDT,1633.34,1638.87,1625.28,1625.28,3.88142613,6308.4042605664
1659398400,2022-08-02 00:00:00,ETH/USDT,1630.45,1654.65,1630.45,1632.48,28.07801853,45836.8036898544
1659394800,2022-08-01 23:00:00,ETH/USDT,1632.28,1642.35,1631.56,1634.75,27.73537834,45340.409741315
1659391200,2022-08-01 22:00:00,ETH/USDT,1618.92,1627.76,1613.66,1627.76,7.60598992,12380.726152179199
1659387600,2022-08-01 21:00:00,ETH/USDT,1632.00,1632.00,1623.81,1623.81,3.39393045,5511.0982040145
1659384000,2022-08-01 20:00:00,ETH/USDT,1626.25,1626.25,1626.11,1626.11,0.17187863,279.4935590293
1659380400,2022-08-01 19:00:00,ETH/USDT,1623.92,1623.92,1620.72,1620.72,4.11718523,6672.804445965599
1659376800,2022-08-01 18:00:00,ETH/USDT,1631.69,1631.69,1619.34,1628.74,10.35042240,16858.146979776
1659373200,2022-08-01 17:00:00,ETH/USDT,1651.47,1651.47,1626.83,1626.83,10.80202018,17573.0504894294
1659369600,2022-08-01 16:00:00,ETH/USDT,1661.51,1661.51,1661.51,1661.51,0.08271324,137.4288753924
1659366000,2022-08-01 15:00:00,ETH/USDT,1673.12,1673.76,1673.12,1673.76,3.67822147,6156.4599676272
1659362400,2022-08-01 14:00:00,ETH/USDT,1675.06,1688.36,1675.06,1688.36,4.27872825,7224.03362817
1659358800,2022-08-01 13:00:00,ETH/USDT,1645.28,1667.03,1644.27,1667.03,9.84499762,16411.906382468598
1659355200,2022-08-01 12:00:00,ETH/USDT,1662.09,1670.25,1662.09,1669.00,1.91636668,3198.41598892
1659351600,2022-08-01 11:00:00,ETH/USDT,1644.48,1666.29,1643.77,1666.29,5.88682159,9809.1519472011
1659348000,2022-08-01 10:00:00,ETH/USDT,1678.32,1678.32,1654.02,1659.51,5.06888276,8411.8616290476
1659344400,2022-08-01 09:00:00,ETH/USDT,1688.14,1688.14,1688.14,1688.14,1.87728877,3169.1262641878
1659340800,2022-08-01 08:00:00,ETH/USDT,1695.00,1695.00,1682.35,1682.35,182.34544106,306768.852767291
1659337200,2022-08-01 07:00:00,ETH/USDT,1683.47,1683.47,1674.43,1683.05,7.94046225,13364.1949898625
1659333600,2022-08-01 06:00:00,ETH/USDT,1688.69,1688.70,1676.97,1680.06,9.68945939,16278.8731427634
1659330000,2022-08-01 05:00:00,ETH/USDT,1690.19,1692.89,1689.42,1692.00,8.40366337,14218.99842204
1659326400,2022-08-01 04:00:00,ETH/USDT,1693.39,1694.91,1693.39,1694.91,0.60490979,1025.2676521689
1659322800,2022-08-01 03:00:00,ETH/USDT,1694.84,1696.30,1686.95,1691.66,7.62475750,12898.49727245
1659319200,2022-08-01 02:00:00,ETH/USDT,1702.79,1702.79,1691.12,1692.26,17.65714898,29880.486932894797
1659315600,2022-08-01 01:00:00,ETH/USDT,1688.33,1693.27,1688.33,1692.83,3.46321027,5862.6262413641
1659312000,2022-08-01 00:00:00,ETH/USDT,1678.93,1688.51,1676.10,1688.51,11.60196271,19590.0300554621
1659308400,2022-07-31 23:00:00,ETH/USDT,1680.98,1687.45,1679.32,1679.32,5.58582899,9380.3943394868
1659304800,2022-07-31 22:00:00,ETH/USDT,1703.03,1703.03,1669.14,1673.45,17.24851175,28864.521988037497
1659301200,2022-07-31 21:00:00,ETH/USDT,1721.87,1721.90,1700.64,1703.79,2.33130423,3972.0528340317
1659297600,2022-07-31 20:00:00,ETH/USDT,1718.13,1718.79,1715.65,1715.74,3.36087550,5766.38853037
1659294000,2022-07-31 19:00:00,ETH/USDT,1717.31,1729.45,1716.22,1716.22,16.92395395,29045.228248069
1659290400,2022-07-31 18:00:00,ETH/USDT,1711.88,1750.56,1690.96,1706.84,185.58995815,316772.364168746
1659286800,2022-07-31 17:00:00,ETH/USDT,1705.67,1707.04,1679.87,1706.99,5.42230901,9255.827256979901
1659283200,2022-07-31 16:00:00,ETH/USDT,1712.15,1713.33,1705.99,1710.33,2.46366584,4213.6815961272
1659279600,2022-07-31 15:00:00,ETH/USDT,1707.48,1728.56,1699.03,1711.58,2.19679680,3759.993466944
1659276000,2022-07-31 14:00:00,ETH/USDT,1709.03,1717.92,1701.29,1701.29,6.40564341,10897.8570769989
1659272400,2022-07-31 13:00:00,ETH/USDT,1718.07,1718.07,1706.27,1708.68,9.58555885,16378.652695818
1659268800,2022-07-31 12:00:00,ETH/USDT,1715.13,1721.81,1715.13,1721.81,0.27272221,469.5758284001
1659265200,2022-07-31 11:00:00,ETH/USDT,1714.37,1720.47,1710.33,1712.20,186.27527067,318940.518441174
1659261600,2022-07-31 10:00:00,ETH/USDT,1703.20,1720.51,1703.20,1717.33,1.58949337,2729.6846491021
1659258000,2022-07-31 09:00:00,ETH/USDT,1693.16,1700.76,1693.16,1700.76,188.51671660,320621.690924616
1659254400,2022-07-31 08:00:00,ETH/USDT,1699.61,1699.61,1694.74,1694.74,3.78012466,6406.3284662884
1659250800,2022-07-31 07:00:00,ETH/USDT,1701.48,1705.23,1696.24,1696.24,3.46056855,5869.954797252
1659247200,2022-07-31 06:00:00,ETH/USDT,1697.38,1700.17,1697.38,1700.15,3.67025883,6239.9905498245
1659243600,2022-07-31 05:00:00,ETH/USDT,1703.34,1703.34,1691.47,1691.47,5.74760021,9721.8933272087
1659240000,2022-07-31 04:00:00,ETH/USDT,1696.46,1703.12,1696.46,1703.12,3.70781454,6314.8530993648
1659236400,2022-07-31 03:00:00,ETH/USDT,1697.58,1697.58,1691.84,1691.84,7.68338316,12999.0549654144
1659232800,2022-07-31 02:00:00,ETH/USDT,1700.44,1704.37,1700.44,1702.67,7.61793048,12970.821690381601
1659229200,2022-07-31 01:00:00,ETH/USDT,1695.91,1695.91,1695.91,1695.91,0.00000000,0.0
1659225600,2022-07-31 00:00:00,ETH/USDT,1695.91,1695.91,1695.91,1695.91,1.99369075,3381.1200798325003
1659222000,2022-07-30 23:00:00,ETH/USDT,1696.93,1696.93,1680.78,1690.42,7.80509910,13193.895620622
1659218400,2022-07-30 22:00:00,ETH/USDT,1681.34,1701.53,1676.81,1701.53,14.86293741,25289.7338912373
1659214800,2022-07-30 21:00:00,ETH/USDT,1705.66,1705.66,1699.44,1699.44,5.63640409,9578.7305667096
1659211200,2022-07-30 20:00:00,ETH/USDT,1696.56,1700.55,1688.33,1700.55,13.14223957,22349.035500763497
1659207600,2022-07-30 19:00:00,ETH/USDT,1726.19,1726.19,1697.97,1697.97,6.45078590,10953.240934623
1659204000,2022-07-30 18:00:00,ETH/USDT,1726.55,1733.37,1723.89,1727.49,0.89362175,1543.7226369075
1659200400,2022-07-30 17:00:00,ETH/USDT,1728.60,1730.21,1720.67,1720.68,6.07984272,10461.4637714496
1659196800,2022-07-30 16:00:00,ETH/USDT,1733.78,1733.78,1727.19,1730.01,6.92632722,11982.615353872201
1659193200,2022-07-30 15:00:00,ETH/USDT,1716.75,1744.02,1716.75,1744.02,9.66742206,16860.1774210812
1659189600,2022-07-30 14:00:00,ETH/USDT,1730.76,1730.76,1714.39,1714.39,3.38039667,5795.318247081301
