https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT,Volume BTC
1657152000000.0,2022-07-07 00:00:00,DOT/BTC,0.00033697,0.00034552,0.00033416,0.00033815,9658.390217359161,3.265984652
1657065600000.0,2022-07-06 00:00:00,DOT/BTC,0.00033921,0.00034581,0.00033616,0.00033697,8676.261423865624,2.923639812
1656979200000.0,2022-07-05 00:00:00,DOT/BTC,0.00035459,0.00035556,0.00033586,0.00033921,22528.14143156157,7.641770855
1656892800000.0,2022-07-04 00:00:00,DOT/BTC,0.00035549,0.00035691,0.00034919,0.00035459,9676.915677261062,3.43133753
1656806400000.0,2022-07-03 00:00:00,DOT/BTC,0.00035457,0.00035745,0.00034971,0.00035549,13311.948589271145,4.732264604
1656720000000.0,2022-07-02 00:00:00,DOT/BTC,0.00034988,0.00035704,0.00034586,0.00035457,6326.527170939447,2.243196739
1656633600000.0,2022-07-01 00:00:00,DOT/BTC,0.00035398,0.00035644,0.00033665,0.00034988,40747.41457070996,14.25670541
1656547200000.0,2022-06-30 00:00:00,DOT/BTC,0.00034941,0.00036314,0.00034138,0.00035398,17503.100629979097,6.195747561
1656460800000.0,2022-06-29 00:00:00,DOT/BTC,0.00036047,0.00036526,0.00034635,0.00034941,8411.511988781089,2.939066404
1656374400000.0,2022-06-28 00:00:00,DOT/BTC,0.00037292,0.00037859,0.00035835,0.00036047,14274.926645768026,5.145682808
1656288000000.0,2022-06-27 00:00:00,DOT/BTC,0.00037219,0.00038367,0.0003715,0.00037292,21616.96103721978,8.06139711
1656201600000.0,2022-06-26 00:00:00,DOT/BTC,0.00037815,0.00038927,0.0003719,0.00037219,23653.10251484457,8.803448225
1656115200000.0,2022-06-25 00:00:00,DOT/BTC,0.00038552,0.00038918,0.00037191,0.00037815,3706.6735634007673,1.401678608
1656028800000.0,2022-06-24 00:00:00,DOT/BTC,0.00036856,0.0003889,0.0003681,0.00038552,10658.411524693922,4.109030811
1655942400000.0,2022-06-23 00:00:00,DOT/BTC,0.00036993,0.00037505,0.00036547,0.00036856,11685.06685749946,4.306648241
1655856000000.0,2022-06-22 00:00:00,DOT/BTC,0.00037416,0.00037727,0.0003668,0.00036993,2095.6466493660964,0.775242565
1655769600000.0,2022-06-21 00:00:00,DOT/BTC,0.00038267,0.00039345,0.00037133,0.00037416,5830.852359952962,2.181671719
1655683200000.0,2022-06-20 00:00:00,DOT/BTC,0.00036583,0.00038756,0.00036157,0.00038267,25294.648446442105,9.679503121
1655596800000.0,2022-06-19 00:00:00,DOT/BTC,0.00037168,0.00038241,0.0003617,0.00036583,13648.293122488589,4.992955073
1655510400000.0,2022-06-18 00:00:00,DOT/BTC,0.00035575,0.00038337,0.00034772,0.00037168,52404.0408146793,19.47753389
1655424000000.0,2022-06-17 00:00:00,DOT/BTC,0.00034835,0.00036067,0.00034394,0.00035575,21052.652905130006,7.489481271
1655337600000.0,2022-06-16 00:00:00,DOT/BTC,0.00037602,0.00037763,0.0003423,0.00034835,165225.478670877,57.556295495
1655251200000.0,2022-06-15 00:00:00,DOT/BTC,0.00033178,0.0003895,0.00033178,0.00037602,25836.081995638528,9.714883552
1655164800000.0,2022-06-14 00:00:00,DOT/BTC,0.00031292,0.00033867,0.00031052,0.00033178,21817.652043522816,7.238660595
1655078400000.0,2022-06-13 00:00:00,DOT/BTC,0.0002783,0.00031327,0.00026454,0.00031292,112506.52877412757,35.205542984
1654992000000.0,2022-06-12 00:00:00,DOT/BTC,0.00028257,0.00028902,0.00027346,0.00027824,19298.95975416906,5.369742562
1654905600000.0,2022-06-11 00:00:00,DOT/BTC,0.00029745,0.00030164,0.00027954,0.00028257,27368.862211133524,7.733619395
1654819200000.0,2022-06-10 00:00:00,DOT/BTC,0.00030668,0.00031084,0.00029335,0.00029745,36020.041294335184,10.714161283
1654732800000.0,2022-06-09 00:00:00,DOT/BTC,0.00029788,0.00031211,0.00029646,0.00030668,36496.11366897092,11.19262814
