https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZEN,Volume USDT
1662890400,2022-09-11 10:00:00,ZEN/USDT,16.545,16.593,16.545,16.593,0.1322,2.187801
1662886800,2022-09-11 09:00:00,ZEN/USDT,16.623,16.623,16.502,16.502,8.9362,148.2009202
1662883200,2022-09-11 08:00:00,ZEN/USDT,16.525,16.656,16.525,16.645,1.649,27.3980392
1662879600,2022-09-11 07:00:00,ZEN/USDT,16.448,16.559,16.448,16.546,2.4059,39.8057022
1662876000,2022-09-11 06:00:00,ZEN/USDT,16.593,16.613,16.298,16.44,520.6361,8507.8635735
1662872400,2022-09-11 05:00:00,ZEN/USDT,16.626,16.639,16.535,16.593,103.3255,1717.6193786
1662868800,2022-09-11 04:00:00,ZEN/USDT,16.642,16.676,16.626,16.63,33.0966,551.3195909
1662865200,2022-09-11 03:00:00,ZEN/USDT,16.664,16.669,16.574,16.574,0.7983,13.2716072
1662861600,2022-09-11 02:00:00,ZEN/USDT,16.693,16.712,16.559,16.586,4.5469,75.499291
1662858000,2022-09-11 01:00:00,ZEN/USDT,16.738,16.833,16.706,16.706,27.2903,457.3799677
1662854400,2022-09-11 00:00:00,ZEN/USDT,16.834,16.896,16.736,16.79,6.3634,107.0723784
1662850800,2022-09-10 23:00:00,ZEN/USDT,16.853,16.876,16.736,16.773,1.1562,19.4853502
1662847200,2022-09-10 22:00:00,ZEN/USDT,16.829,16.875,16.829,16.875,0.2576,4.339803
1662843600,2022-09-10 21:00:00,ZEN/USDT,16.706,16.846,16.645,16.736,2.5134,42.0787642
1662840000,2022-09-10 20:00:00,ZEN/USDT,16.658,16.658,16.62,16.641,0.9388,15.6152103
1662836400,2022-09-10 19:00:00,ZEN/USDT,16.746,16.746,16.717,16.717,0.1771,2.9627677
1662832800,2022-09-10 18:00:00,ZEN/USDT,16.647,16.76,16.647,16.727,1.9082,31.9192939
1662829200,2022-09-10 17:00:00,ZEN/USDT,16.736,16.736,16.686,16.71,34.5762,577.2522114
1662825600,2022-09-10 16:00:00,ZEN/USDT,16.641,16.87,16.628,16.754,10.006,168.0300535
1662822000,2022-09-10 15:00:00,ZEN/USDT,16.652,16.67,16.603,16.603,7.9194,132.0120824
1662818400,2022-09-10 14:00:00,ZEN/USDT,16.609,16.7,16.575,16.575,109.5678,1826.8993194
1662814800,2022-09-10 13:00:00,ZEN/USDT,16.788,16.82,16.575,16.575,1.4124,23.5494457
1662811200,2022-09-10 12:00:00,ZEN/USDT,16.734,16.87,16.706,16.762,2.0432,34.2891358
1662807600,2022-09-10 11:00:00,ZEN/USDT,16.743,16.788,16.716,16.768,6.2812,105.4010062
1662804000,2022-09-10 10:00:00,ZEN/USDT,16.72,16.72,16.688,16.688,15.9577,266.6483056
1662800400,2022-09-10 09:00:00,ZEN/USDT,16.706,16.784,16.7,16.7,18.6433,312.4022418
1662796800,2022-09-10 08:00:00,ZEN/USDT,16.625,16.726,16.625,16.625,8.4814,141.3305496
1662793200,2022-09-10 07:00:00,ZEN/USDT,16.82,16.837,16.51,16.51,13.071,216.355758
1662789600,2022-09-10 06:00:00,ZEN/USDT,16.69,16.93,16.69,16.886,2.2055,37.1788876
1662786000,2022-09-10 05:00:00,ZEN/USDT,16.651,16.744,16.562,16.744,203.4413,3369.8594421
1662782400,2022-09-10 04:00:00,ZEN/USDT,16.868,16.916,16.6,16.6,7.1024,119.5202442
1662778800,2022-09-10 03:00:00,ZEN/USDT,16.885,16.953,16.753,16.753,2.7427,46.2682038
1662775200,2022-09-10 02:00:00,ZEN/USDT,16.877,16.877,16.815,16.875,0.937,15.7687974
1662771600,2022-09-10 01:00:00,ZEN/USDT,16.916,17.012,16.87,16.887,6.3181,107.1535986
1662768000,2022-09-10 00:00:00,ZEN/USDT,16.897,16.981,16.717,16.87,205.5548,3440.9078254
1662764400,2022-09-09 23:00:00,ZEN/USDT,16.663,16.924,16.562,16.892,24.218,407.122662
1662760800,2022-09-09 22:00:00,ZEN/USDT,16.693,16.77,16.685,16.719,198.3492,3317.5068545
1662757200,2022-09-09 21:00:00,ZEN/USDT,16.741,16.87,16.653,16.706,160.9405,2694.6939086
1662753600,2022-09-09 20:00:00,ZEN/USDT,16.723,16.759,16.715,16.715,2.7569,46.1196916
1662750000,2022-09-09 19:00:00,ZEN/USDT,16.706,16.724,16.706,16.723,7.3984,123.6381755
1662746400,2022-09-09 18:00:00,ZEN/USDT,16.62,16.673,16.604,16.624,3.2267,53.600315
1662742800,2022-09-09 17:00:00,ZEN/USDT,16.819,16.819,16.624,16.661,261.6411,4360.9909054
1662739200,2022-09-09 16:00:00,ZEN/USDT,16.754,16.848,16.665,16.707,191.1702,3211.1421134
1662735600,2022-09-09 15:00:00,ZEN/USDT,16.865,16.865,16.788,16.829,0.9612,16.1716463
1662732000,2022-09-09 14:00:00,ZEN/USDT,16.915,16.957,16.846,16.846,2.6235,44.3120523
1662728400,2022-09-09 13:00:00,ZEN/USDT,16.96,16.96,16.792,16.868,14.3329,241.110209
