https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ARPA,Volume USDT
1660309200,2022-08-12 13:00:00,ARPA/USDT,0.043527,0.0446,0.043404,0.0446,67835.5906,2990.0165793158
1660305600,2022-08-12 12:00:00,ARPA/USDT,0.043087,0.043609,0.04307,0.043478,3540.60241212,154.00263328360842
1660302000,2022-08-12 11:00:00,ARPA/USDT,0.043192,0.043385,0.043019,0.043089,60376.08967535,2609.43497845316845
1660298400,2022-08-12 10:00:00,ARPA/USDT,0.044118,0.044236,0.043052,0.043161,14713.87629762,638.0928584123724
1660294800,2022-08-12 09:00:00,ARPA/USDT,0.043893,0.044324,0.043891,0.044096,31540.97820955,1394.61603485586125
1660291200,2022-08-12 08:00:00,ARPA/USDT,0.04384,0.0442,0.04384,0.043897,11030.53317179,487.29380852043674
1660287600,2022-08-12 07:00:00,ARPA/USDT,0.043853,0.044039,0.043723,0.043942,5761.0258367,252.70077111681684
1660284000,2022-08-12 06:00:00,ARPA/USDT,0.044026,0.044048,0.043669,0.043805,4748.25281008,207.88207246432067
1660280400,2022-08-12 05:00:00,ARPA/USDT,0.043716,0.044117,0.043716,0.043813,3963.56486743,174.03786483544954
1660276800,2022-08-12 04:00:00,ARPA/USDT,0.043966,0.044042,0.043704,0.043818,1600.60749814,70.27568696766666
1660273200,2022-08-12 03:00:00,ARPA/USDT,0.043858,0.044025,0.043727,0.043892,2163.90972474,94.97215278371661
1660269600,2022-08-12 02:00:00,ARPA/USDT,0.043607,0.044003,0.043352,0.043748,19590.07510906,856.73222130311889
1660266000,2022-08-12 01:00:00,ARPA/USDT,0.043626,0.043705,0.043505,0.043615,11565.54048567,504.73018529404798
1660262400,2022-08-12 00:00:00,ARPA/USDT,0.043912,0.043912,0.04274,0.043656,27288.49859384,1183.21450618300929
1660258800,2022-08-11 23:00:00,ARPA/USDT,0.043805,0.044004,0.043584,0.044004,10477.95878657,458.77131685079277
1660255200,2022-08-11 22:00:00,ARPA/USDT,0.044123,0.044148,0.043805,0.043805,39266.0656328,1729.4108004627808
1660251600,2022-08-11 21:00:00,ARPA/USDT,0.044163,0.044186,0.043846,0.044096,573.02163007,25.25222900610222
1660248000,2022-08-11 20:00:00,ARPA/USDT,0.04408,0.04423,0.043805,0.044181,30884.93092591,1361.35095511310882
1660244400,2022-08-11 19:00:00,ARPA/USDT,0.043941,0.04415,0.043911,0.04415,895.39592894,39.45815936170944
1660240800,2022-08-11 18:00:00,ARPA/USDT,0.044437,0.044437,0.043919,0.044174,36441.1565061,1603.67189291401519
1660237200,2022-08-11 17:00:00,ARPA/USDT,0.044392,0.044547,0.044278,0.04435,21569.16953417,956.96290626204405
1660233600,2022-08-11 16:00:00,ARPA/USDT,0.044033,0.044571,0.044026,0.044415,25390.76938243,1125.40368292235195
1660230000,2022-08-11 15:00:00,ARPA/USDT,0.044092,0.044233,0.04401,0.044071,25360.86830205,1118.37884603087515
1660226400,2022-08-11 14:00:00,ARPA/USDT,0.044607,0.044685,0.04384,0.044187,42298.03482325,1869.1658881097895
1660222800,2022-08-11 13:00:00,ARPA/USDT,0.04424,0.04424,0.04424,0.04424,8.7309,0.386255016
1660219200,2022-08-11 12:00:00,ARPA/USDT,0.044427,0.044708,0.044427,0.044667,124278.4078,5534.0479121408
1660215600,2022-08-11 11:00:00,ARPA/USDT,0.044359,0.044418,0.04435,0.04435,78912.3548,3501.8769223808
1660212000,2022-08-11 10:00:00,ARPA/USDT,0.04435,0.044406,0.044173,0.044206,2913.9567,128.8966784233
1660208400,2022-08-11 09:00:00,ARPA/USDT,0.044725,0.044725,0.04435,0.04435,5109.66668574,227.22827450605401
