https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BURGER,Volume USDT
1662652800,2022-09-08 16:00:00,BURGER/USDT,1.0946,1.0981,1.0894,1.0958,2863.6199,3132.68105187
1662649200,2022-09-08 15:00:00,BURGER/USDT,1.1015,1.1032,1.0793,1.0938,40071.40039973,43610.552114994323
1662645600,2022-09-08 14:00:00,BURGER/USDT,1.0989,1.1024,1.0909,1.1008,7251.8221,7957.32878659
1662642000,2022-09-08 13:00:00,BURGER/USDT,1.0942,1.1038,1.08,1.1022,15130.75471524,16504.506271671225
1662638400,2022-09-08 12:00:00,BURGER/USDT,1.1019,1.1033,1.0923,1.0923,1804.73245531,1981.873511796752
1662634800,2022-09-08 11:00:00,BURGER/USDT,1.1079,1.1084,1.0988,1.1028,4188.1849,4621.85061525
1662631200,2022-09-08 10:00:00,BURGER/USDT,1.1016,1.1143,1.1016,1.1097,3940.36514245,4369.692614368645
1662627600,2022-09-08 09:00:00,BURGER/USDT,1.1039,1.1039,1.0997,1.1017,2953.56800362,3252.73911366924
1662624000,2022-09-08 08:00:00,BURGER/USDT,1.1006,1.1077,1.1006,1.105,1113.88262411,1231.893391786647
1662620400,2022-09-08 07:00:00,BURGER/USDT,1.107,1.1074,1.0946,1.0982,6082.06223431,6711.313981559242
1662616800,2022-09-08 06:00:00,BURGER/USDT,1.1061,1.1091,1.1032,1.1091,1926.64732174,2129.656374032264
1662613200,2022-09-08 05:00:00,BURGER/USDT,1.11,1.1129,1.104,1.1065,7099.97154352,7867.540021288032
1662609600,2022-09-08 04:00:00,BURGER/USDT,1.1149,1.1195,1.1097,1.1097,5054.42580857,5646.00012758983
1662606000,2022-09-08 03:00:00,BURGER/USDT,1.1154,1.119,1.1099,1.1162,6332.4719,7055.03564473
1662602400,2022-09-08 02:00:00,BURGER/USDT,1.1143,1.1186,1.1101,1.1148,4681.22769222,5218.863618567292
1662598800,2022-09-08 01:00:00,BURGER/USDT,1.1113,1.1211,1.1113,1.1146,1348.7707,1505.45327084
1662595200,2022-09-08 00:00:00,BURGER/USDT,1.1139,1.1168,1.111,1.1128,1775.2339,1977.33100388
1662591600,2022-09-07 23:00:00,BURGER/USDT,1.1062,1.1161,1.1062,1.1123,1448.6954,1611.14959757
