https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RSR,Volume USDT
1653782400,2022-05-29 00:00:00,RSR/USDT,0.00528,0.0075,0.0049,0.00705,566269725.87642189,3510022.6520446641703
1653696000,2022-05-28 00:00:00,RSR/USDT,0.00542,0.00573,0.00517,0.00529,131102576.26531313,706665.1712448558489
1653609600,2022-05-27 00:00:00,RSR/USDT,0.00492,0.00643,0.00466,0.00537,307991342.18777053,1593999.9821661017156
1653523200,2022-05-26 00:00:00,RSR/USDT,0.00582,0.006,0.00486,0.00494,320725260.39649235,1703192.9180812816819
1653436800,2022-05-25 00:00:00,RSR/USDT,0.0064,0.00687,0.00577,0.00584,362094348.79277126,2237856.261551632911
1653350400,2022-05-24 00:00:00,RSR/USDT,0.00649,0.00759,0.00556,0.00642,1036947540.82928173,6615226.644906150624
1653264000,2022-05-23 00:00:00,RSR/USDT,0.00508,0.00799,0.00487,0.0065,935370936.34704472,5752200.3605243865403
1653177600,2022-05-22 00:00:00,RSR/USDT,0.00429,0.00515,0.0042,0.00507,109305643.40030311,510886.8252506129796
1653091200,2022-05-21 00:00:00,RSR/USDT,0.00423,0.00446,0.0042,0.00429,57262723.36133277,247489.9914762968654
1653004800,2022-05-20 00:00:00,RSR/USDT,0.00459,0.00475,0.00404,0.00424,93798579.95431099,409832.7921951192315
1652918400,2022-05-19 00:00:00,RSR/USDT,0.00422,0.00466,0.00409,0.00459,105359264.23433507,464189.9472587870293
1652832000,2022-05-18 00:00:00,RSR/USDT,0.00484,0.00515,0.00419,0.0042,168884371.10009168,774314.1877120572212
1652745600,2022-05-17 00:00:00,RSR/USDT,0.00451,0.00492,0.00448,0.00484,97484958.58964244,459175.0717254933011
1652659200,2022-05-16 00:00:00,RSR/USDT,0.00478,0.00478,0.00424,0.00451,124518997.46820162,554753.0895763368119
1652572800,2022-05-15 00:00:00,RSR/USDT,0.00453,0.00482,0.00411,0.00479,77602568.63172676,349974.3395397212737
1652486400,2022-05-14 00:00:00,RSR/USDT,0.00459,0.00491,0.00399,0.00452,112792163.5756855,493361.5214328855204
1652400000,2022-05-13 00:00:00,RSR/USDT,0.0041,0.00539,0.00402,0.00459,202149799.00189196,978709.4701956897633
1652313600,2022-05-12 00:00:00,RSR/USDT,0.00442,0.00492,0.0033,0.00411,259449623.10708154,1068879.2145470879863
1652227200,2022-05-11 00:00:00,RSR/USDT,0.00667,0.00698,0.00403,0.00443,406595339.05995653,2088094.2466630861101
1652140800,2022-05-10 00:00:00,RSR/USDT,0.00607,0.00746,0.00586,0.0067,137591914.63864159,917274.4449091735996
1652054400,2022-05-09 00:00:00,RSR/USDT,0.00795,0.00823,0.00598,0.0061,120212928.68000659,861611.5355561864875
1651968000,2022-05-08 00:00:00,RSR/USDT,0.00818,0.00831,0.00781,0.00792,82716597.6404914,668488.1909040305161
1651881600,2022-05-07 00:00:00,RSR/USDT,0.00883,0.00891,0.00795,0.00818,74940587.58765138,638410.5333001849677
1651795200,2022-05-06 00:00:00,RSR/USDT,0.00887,0.00902,0.00838,0.00882,82832716.01234126,722789.0004819756893
1651708800,2022-05-05 00:00:00,RSR/USDT,0.01018,0.0105,0.00846,0.00891,114814756.19621959,1072823.9304142749501
1651622400,2022-05-04 00:00:00,RSR/USDT,0.00878,0.0102,0.00868,0.01017,85171066.5474891,788267.6112354317492
1651536000,2022-05-03 00:00:00,RSR/USDT,0.00876,0.00919,0.00853,0.00878,64004563.97893151,567804.9002372242733
1651449600,2022-05-02 00:00:00,RSR/USDT,0.00914,0.0094,0.00833,0.00876,68390166.7941844,604208.8001437473864
1651363200,2022-05-01 00:00:00,RSR/USDT,0.0086,0.00938,0.0084,0.00914,106984445.53834067,945570.2359367812223
1651276800,2022-04-30 00:00:00,RSR/USDT,0.01026,0.01043,0.00801,0.00861,97671415.25381381,910420.9994496467246
1651190400,2022-04-29 00:00:00,RSR/USDT,0.0113,0.0115,0.00997,0.01025,61070435.44372298,659391.3484483649466
1651104000,2022-04-28 00:00:00,RSR/USDT,0.01131,0.01166,0.01107,0.01132,61599430.14653521,699001.7503869013573
1651017600,2022-04-27 00:00:00,RSR/USDT,0.01109,0.01155,0.01091,0.01134,49687740.49018703,558029.7641904890197
1650931200,2022-04-26 00:00:00,RSR/USDT,0.01233,0.01259,0.01081,0.01108,75554681.9985813,883356.999466685526
1650844800,2022-04-25 00:00:00,RSR/USDT,0.01273,0.01276,0.01166,0.01232,98796585.73954246,1203606.7488491908894
1650758400,2022-04-24 00:00:00,RSR/USDT,0.01298,0.01321,0.01251,0.01274,29204548.02979844,375777.4212884171039
1650672000,2022-04-23 00:00:00,RSR/USDT,0.01339,0.01355,0.01292,0.01296,60211661.7206785,794244.8377559003204
1650585600,2022-04-22 00:00:00,RSR/USDT,0.01306,0.0136,0.01294,0.0134,58939450.20355996,783278.6603889926795
1650499200,2022-04-21 00:00:00,RSR/USDT,0.01385,0.01439,0.01262,0.01308,107115645.08830377,1472878.6179114699437
1650412800,2022-04-20 00:00:00,RSR/USDT,0.01399,0.01489,0.0136,0.01387,118517580.08455744,1680791.9931677751284
1650326400,2022-04-19 00:00:00,RSR/USDT,0.0135,0.01413,0.01326,0.01399,88215671.02301205,1205964.9315754277739
1650240000,2022-04-18 00:00:00,RSR/USDT,0.01314,0.01419,0.01239,0.01347,89870824.55093815,1171399.891733852532
1650153600,2022-04-17 00:00:00,RSR/USDT,0.01387,0.01429,0.01301,0.01314,101462381.16655638,1406621.7132724822566
1650067200,2022-04-16 00:00:00,RSR/USDT,0.01357,0.01582,0.01354,0.01387,239008690.20459243,3374131.0454650779935
1649980800,2022-04-15 00:00:00,RSR/USDT,0.01284,0.01398,0.01259,0.01356,82646328.22095381,1093774.8225251122449
1649894400,2022-04-14 00:00:00,RSR/USDT,0.01326,0.01386,0.01257,0.01283,59268028.84540614,784687.9980784492524
1649808000,2022-04-13 00:00:00,RSR/USDT,0.01319,0.01339,0.0126,0.01327,33283298.54315401,435007.885206725723
1649721600,2022-04-12 00:00:00,RSR/USDT,0.01237,0.01346,0.01226,0.01319,63502062.1564936,819410.6094395270134
1649635200,2022-04-11 00:00:00,RSR/USDT,0.01417,0.01464,0.01209,0.01236,79087148.17241016,1035620.8719233972425
1649548800,2022-04-10 00:00:00,RSR/USDT,0.01473,0.01503,0.014,0.01415,46412257.00859037,673473.1654100978224
1649462400,2022-04-09 00:00:00,RSR/USDT,0.01413,0.0149,0.01399,0.01473,48049557.80226381,692678.4633636810055
1649376000,2022-04-08 00:00:00,RSR/USDT,0.01554,0.01588,0.01387,0.01412,120122175.70683786,1784995.6290423937241
1649289600,2022-04-07 00:00:00,RSR/USDT,0.01513,0.01609,0.01476,0.01556,73928927.8015876,1137213.4416873667593
1649203200,2022-04-06 00:00:00,RSR/USDT,0.01794,0.018,0.0151,0.01517,157644012.88682915,2588777.9946121777062
1649116800,2022-04-05 00:00:00,RSR/USDT,0.0187,0.0195,0.01786,0.01795,87560275.85196955,1619552.8371937336609
1649030400,2022-04-04 00:00:00,RSR/USDT,0.01982,0.01992,0.01773,0.01876,126475994.0112812,2401825.7757537215652
1648944000,2022-04-03 00:00:00,RSR/USDT,0.01956,0.02025,0.01918,0.01979,87364074.9845177,1727000.7741844304588
