https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TIME,Volume USDT
1662832800,2022-09-10 18:00:00,TIME/USDT,56.692,57.839,56.403,56.893,76.3389,4374.6763701
1662829200,2022-09-10 17:00:00,TIME/USDT,56.3,56.703,56.3,56.397,13.4877,760.4590075
1662825600,2022-09-10 16:00:00,TIME/USDT,56.551,56.551,55.939,56.3,11.7973,662.9928812
1662822000,2022-09-10 15:00:00,TIME/USDT,57.15,57.15,56.55,56.957,19.1858,1091.1684968
1662818400,2022-09-10 14:00:00,TIME/USDT,57.424,57.526,57.424,57.526,6.8725,395.3313029
1662814800,2022-09-10 13:00:00,TIME/USDT,57.122,57.15,57.122,57.15,0.3953,22.5898728
1662811200,2022-09-10 12:00:00,TIME/USDT,57.446,57.524,57.122,57.122,4.3034,247.3980182
1662807600,2022-09-10 11:00:00,TIME/USDT,57.288,57.447,57.063,57.446,0.7728,44.1488597
1662804000,2022-09-10 10:00:00,TIME/USDT,57.002,57.014,56.999,57,15.5144,884.3496615
1662800400,2022-09-10 09:00:00,TIME/USDT,57.287,57.344,57.002,57.002,3.6064,205.7196955
1662796800,2022-09-10 08:00:00,TIME/USDT,57.572,57.687,56.962,56.963,3.1556,181.2470012
1662793200,2022-09-10 07:00:00,TIME/USDT,57.405,57.742,57.245,57.245,12.6088,726.4603065
1662789600,2022-09-10 06:00:00,TIME/USDT,57.074,57.651,57.003,57.406,6.2356,357.4817118
1662786000,2022-09-10 05:00:00,TIME/USDT,57.245,57.447,56.901,57.447,2.0323,116.1460322
1662782400,2022-09-10 04:00:00,TIME/USDT,57.288,57.73,56.147,56.962,92.8576,5260.0566863
1662778800,2022-09-10 03:00:00,TIME/USDT,57.576,57.576,57.29,57.29,0.0713,4.0888096
1662775200,2022-09-10 02:00:00,TIME/USDT,57.717,57.736,57.258,57.258,0.4013,23.0749656
1662771600,2022-09-10 01:00:00,TIME/USDT,57.125,57.736,57.123,57.717,0.6308,36.2712209
1662768000,2022-09-10 00:00:00,TIME/USDT,56.963,57.527,56.963,57.527,3.5964,206.3331041
1662764400,2022-09-09 23:00:00,TIME/USDT,57.131,57.466,56.526,56.963,26.0166,1475.4388188
1662760800,2022-09-09 22:00:00,TIME/USDT,56.713,57.464,56.471,57.226,37.8441,2143.2868698
1662757200,2022-09-09 21:00:00,TIME/USDT,56.464,56.679,56.113,56.679,1.8437,104.3416408
1662753600,2022-09-09 20:00:00,TIME/USDT,56.999,57.001,55.945,56.408,42.6759,2412.8479877
1662750000,2022-09-09 19:00:00,TIME/USDT,56.47,57.121,56.47,56.999,12.9211,734.9841655
1662746400,2022-09-09 18:00:00,TIME/USDT,56.596,57.492,56.26,56.47,68.3593,3898.4607349
1662742800,2022-09-09 17:00:00,TIME/USDT,56.269,56.8,55.264,56.611,94.6599,5314.8560849
1662739200,2022-09-09 16:00:00,TIME/USDT,57.704,61.89,55,56.292,340.0259,19635.4058159
1662735600,2022-09-09 15:00:00,TIME/USDT,58.44,59.168,57.53,58.093,427.6986,24819.9954201
1662732000,2022-09-09 14:00:00,TIME/USDT,57.601,58.422,57.6,58.422,14.3753,835.7349
1662728400,2022-09-09 13:00:00,TIME/USDT,57.832,57.999,57.529,57.999,0.7243,41.8359331
