https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1550260800,2019-02-15 20:00:00,LTC/USDT,41.85999,42.051402,41.85999,42.051402,0.0032,0.13418166
1550257200,2019-02-15 19:00:00,LTC/USDT,41.756407,41.756407,41.756407,41.756407,0.499625,20.86254485
1550253600,2019-02-15 18:00:00,LTC/USDT,41.916096,41.916096,41.916096,41.916096,8.543597,358.11423203
1550242800,2019-02-15 15:00:00,LTC/USDT,41.55,42.088242,41.0451,42.088242,34.361133,1418.66600521
1550239200,2019-02-15 14:00:00,LTC/USDT,42.897334,44.613245,41.363886,41.55,110.415776,4779.23080348
1550235600,2019-02-15 13:00:00,LTC/USDT,42.80874,42.80874,42.80874,42.80874,0.939061,40.20001819
1550232000,2019-02-15 12:00:00,LTC/USDT,42.424185,42.424185,42.424185,42.424185,0.020485,0.86905943
1550228400,2019-02-15 11:00:00,LTC/USDT,42.335311,42.335311,42.276937,42.276937,2.02249,85.62026097
1550224800,2019-02-15 10:00:00,LTC/USDT,42.321729,42.321729,42.321729,42.321729,9.253678,391.63165257
1550221200,2019-02-15 09:00:00,LTC/USDT,42.321729,42.321729,42.321729,42.321729,15.355399,649.86703516
1550214000,2019-02-15 07:00:00,LTC/USDT,42.502154,42.502154,42.502154,42.502154,0.004511,0.19172722
1550210400,2019-02-15 06:00:00,LTC/USDT,42.436957,43.015371,42.436957,43.015371,0.013657,0.5858084
1550206800,2019-02-15 05:00:00,LTC/USDT,42.760833,42.904299,42.536439,42.536439,1.153715,49.34644162
1550203200,2019-02-15 04:00:00,LTC/USDT,42.163711,42.657892,42.163711,42.427009,5.804014,247.21540865
1550199600,2019-02-15 03:00:00,LTC/USDT,42.220721,42.220721,42.220721,42.220721,0.535639,22.61506478
1550196000,2019-02-15 02:00:00,LTC/USDT,41.591402,41.591402,41.591402,41.591402,0.066196,2.75318445
1550178000,2019-02-14 21:00:00,LTC/USDT,41.446681,41.537048,41.4024,41.4024,2.294363,95.28205392
1550174400,2019-02-14 20:00:00,LTC/USDT,41.36647,41.433109,41.136193,41.433109,48.305018,1997.4127293
1550170800,2019-02-14 19:00:00,LTC/USDT,41.788466,41.788466,41.788466,41.788466,3.269783,136.63921572
1550160000,2019-02-14 16:00:00,LTC/USDT,41.781352,41.781352,41.781352,41.781352,0.478682,19.99998114
1550156400,2019-02-14 15:00:00,LTC/USDT,41.608712,41.65,41.608712,41.65,1.636751,68.11279395
1550149200,2019-02-14 13:00:00,LTC/USDT,41.649971,41.649971,41.649971,41.649971,12,499.799652
1550145600,2019-02-14 12:00:00,LTC/USDT,40.994707,41.25,40.706055,41.25,20.555586,844.60546912
1550142000,2019-02-14 11:00:00,LTC/USDT,40.806076,41.004482,40,41.004482,32.305112,1314.29514336
1550138400,2019-02-14 10:00:00,LTC/USDT,40.947431,41.111221,40.947431,41.111221,1.464559,60.08980863
1550134800,2019-02-14 09:00:00,LTC/USDT,41.58,41.58,41.58,41.58,5,207.9
1550131200,2019-02-14 08:00:00,LTC/USDT,41.577371,41.587172,41.577371,41.587172,77.079813,3204.77735248
1550127600,2019-02-14 07:00:00,LTC/USDT,40.924911,41.340307,40.924911,41.340306,18.329882,756.8160045
1550124000,2019-02-14 06:00:00,LTC/USDT,41.332761,41.332761,41.332761,41.332761,105.220183,4349.04067631
1550120400,2019-02-14 05:00:00,LTC/USDT,41.332761,41.332761,41.332761,41.332761,0.150012,6.20041014
1550116800,2019-02-14 04:00:00,LTC/USDT,41.735825,41.735828,41.735825,41.735828,2.418731,100.94773741
1550113200,2019-02-14 03:00:00,LTC/USDT,41.798526,41.798526,41.384679,41.56225,10.874647,452.28684861
1550109600,2019-02-14 02:00:00,LTC/USDT,41.591401,41.651089,41.591401,41.651089,3.999575,166.55416704
