https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMB,Volume USDT
1658102400,2022-07-18 00:00:00,COMB/USDT,0.000685,0.000724,0.000665,0.000705,8671571.1272481,6045.85483085416609
1658016000,2022-07-17 00:00:00,COMB/USDT,0.000697,0.000742,0.00068,0.000682,3547928.82012421,2504.89501772088944
1657929600,2022-07-16 00:00:00,COMB/USDT,0.000706,0.000747,0.000661,0.000697,13623876.2487617,9591.60450386258263
1657843200,2022-07-15 00:00:00,COMB/USDT,0.000665,0.000762,0.000662,0.000703,6180736.65127422,4403.0869179676074
1657756800,2022-07-14 00:00:00,COMB/USDT,0.000679,0.000703,0.000662,0.000666,6066473.21699348,4141.33613209880208
1657670400,2022-07-13 00:00:00,COMB/USDT,0.000716,0.000721,0.000637,0.000677,8735085.56145374,5905.24485082878178
1657584000,2022-07-12 00:00:00,COMB/USDT,0.000709,0.000772,0.000701,0.000713,13795770.74519201,10056.37251954536206
1657497600,2022-07-11 00:00:00,COMB/USDT,0.000787,0.000787,0.000705,0.00071,7216660.8612,5389.6229964194
1657411200,2022-07-10 00:00:00,COMB/USDT,0.000783,0.000817,0.00078,0.000785,6869984.65696846,5417.73117905325252
1657324800,2022-07-09 00:00:00,COMB/USDT,0.000803,0.000822,0.00077,0.000784,15116196.18682511,11947.96593334901162
1657238400,2022-07-08 00:00:00,COMB/USDT,0.000898,0.000938,0.000792,0.000805,36475031.80659006,30946.61757691067362
1657152000,2022-07-07 00:00:00,COMB/USDT,0.000805,0.000939,0.000777,0.00089,71178872.49734558,61680.24284677635533
1657065600,2022-07-06 00:00:00,COMB/USDT,0.000807,0.000821,0.000771,0.000808,9776846.85036535,7779.45657842734596
1656979200,2022-07-05 00:00:00,COMB/USDT,0.000788,0.000837,0.000771,0.000808,6948011.52365245,5542.78981185164677
1656892800,2022-07-04 00:00:00,COMB/USDT,0.000818,0.000841,0.000781,0.000789,4186422.23384858,3363.58266433467686
1656806400,2022-07-03 00:00:00,COMB/USDT,0.000791,0.000821,0.000779,0.000817,3888838.63607027,3082.04687631019919
1656720000,2022-07-02 00:00:00,COMB/USDT,0.000785,0.000825,0.000771,0.000789,28641431.64044584,22753.97517765476866
1656633600,2022-07-01 00:00:00,COMB/USDT,0.000792,0.000846,0.000785,0.000786,34656849.41102635,28505.88428523226877
1656547200,2022-06-30 00:00:00,COMB/USDT,0.000826,0.000827,0.000775,0.000791,59588199.69728657,47741.40607189238423
1656460800,2022-06-29 00:00:00,COMB/USDT,0.000843,0.000954,0.000816,0.000826,77345189.51927364,65635.57548483782176
1656374400,2022-06-28 00:00:00,COMB/USDT,0.000816,0.000852,0.000803,0.000843,58746610.72476693,48282.00914589057093
1656288000,2022-06-27 00:00:00,COMB/USDT,0.000874,0.000875,0.000796,0.000815,67040816.49692968,55531.91472201585284
1656201600,2022-06-26 00:00:00,COMB/USDT,0.000791,0.000913,0.000791,0.000875,69895813.68313474,58126.04655576673178
1656115200,2022-06-25 00:00:00,COMB/USDT,0.000799,0.000812,0.000782,0.000792,65535212.21502191,52053.51952771559579
1656028800,2022-06-24 00:00:00,COMB/USDT,0.000771,0.00084,0.000741,0.0008,82492589.62669423,64178.12110688185777
1655942400,2022-06-23 00:00:00,COMB/USDT,0.000788,0.000792,0.000741,0.000772,87503741.52745888,66863.92379498641117
1655856000,2022-06-22 00:00:00,COMB/USDT,0.000775,0.000831,0.000753,0.000787,74649211.55834512,58318.22489168707087
1655769600,2022-06-21 00:00:00,COMB/USDT,0.000736,0.00081,0.000734,0.000772,64536561.22150854,49647.40123931637302
1655683200,2022-06-20 00:00:00,COMB/USDT,0.000714,0.000799,0.000703,0.000736,87124180.90032383,64910.03334199514622
1655596800,2022-06-19 00:00:00,COMB/USDT,0.000678,0.000759,0.000651,0.000714,89147615.59987462,62096.75124567752687
1655510400,2022-06-18 00:00:00,COMB/USDT,0.000745,0.000954,0.000663,0.000672,176761996.02377807,136517.81043251002739
1655424000,2022-06-17 00:00:00,COMB/USDT,0.000736,0.000787,0.000719,0.000745,68813890.5122353,51668.64495953665488
1655337600,2022-06-16 00:00:00,COMB/USDT,0.000802,0.000809,0.000731,0.000736,76101243.6626313,57893.99939712836088
1655251200,2022-06-15 00:00:00,COMB/USDT,0.000763,0.00082,0.000702,0.0008,66360424.54429052,49233.70410514109682
1655164800,2022-06-14 00:00:00,COMB/USDT,0.000767,0.000792,0.000717,0.000759,75333755.30392308,57162.72222566144588
