https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DERO,Volume USDT
1653350400,2022-05-24 00:00:00,DERO/USDT,5.58423,5.95,5.25051,5.95,17389.38058282,97957.1805271934528
1653264000,2022-05-23 00:00:00,DERO/USDT,5.48001,6.08878,5.32223,5.56544,19736.66361036,112578.6064821076646
1653177600,2022-05-22 00:00:00,DERO/USDT,5.38399,5.70757,5.20033,5.48001,15172.70256844,82134.9177212387888
1653091200,2022-05-21 00:00:00,DERO/USDT,5.4401,5.71638,5.1504,5.38399,14212.63758434,77625.1320116342403
1653004800,2022-05-20 00:00:00,DERO/USDT,6.10408,6.28001,5.38223,5.44009,21901.97665665,127651.3114580313248
1652918400,2022-05-19 00:00:00,DERO/USDT,6.35,6.36999,5.22,6.22138,50823.13604455,295995.1261549069447
1652832000,2022-05-18 00:00:00,DERO/USDT,7.19331,7.3109,6.35,6.35,18149.86598695,121772.1761100882684
1652745600,2022-05-17 00:00:00,DERO/USDT,7.33726,7.5986,7,7.19331,11353.28081597,82563.8609003091938
1652659200,2022-05-16 00:00:00,DERO/USDT,7.49999,7.5978,7.2,7.30446,9576.23790716,70730.3143124233705
1652572800,2022-05-15 00:00:00,DERO/USDT,7.08682,7.5,6.94437,7.5,10203.38879478,72821.0183400104827
1652486400,2022-05-14 00:00:00,DERO/USDT,7.14881,7.30185,6.75006,7.08683,12976.13277049,90420.8313593394303
1652400000,2022-05-13 00:00:00,DERO/USDT,5.8846,8,5.8846,7.18919,41797.22766777,297044.2294566978234
1652313600,2022-05-12 00:00:00,DERO/USDT,7.63494,7.87028,5.25,5.8846,86509.05169432,525174.4634504237611
1652227200,2022-05-11 00:00:00,DERO/USDT,9.13874,9.25694,7.45,7.63494,44193.68066197,369367.2727172109302
1652140800,2022-05-10 00:00:00,DERO/USDT,9.20933,9.85849,8.75,9.1116,24466.69548157,224821.4155317437718
1652054400,2022-05-09 00:00:00,DERO/USDT,10.55441,10.62614,9,9.20933,23117.6975298,225170.3761403104577
1651968000,2022-05-08 00:00:00,DERO/USDT,11.23429,11.2662,10.5,10.55456,14318.84468479,155171.7200964043165
1651881600,2022-05-07 00:00:00,DERO/USDT,10.93558,11.37083,10.93558,11.2663,5457.99507087,60970.6408326600988
1651795200,2022-05-06 00:00:00,DERO/USDT,11.13249,11.37244,10.87414,11.01467,15492.200332,172059.9898897754606
1651708800,2022-05-05 00:00:00,DERO/USDT,11.74202,12.97203,10.97,11.20248,18241.74832909,212190.5711904056402
1651622400,2022-05-04 00:00:00,DERO/USDT,11.15854,11.86798,11.15854,11.74202,13811.03575728,159325.550928423571
1651536000,2022-05-03 00:00:00,DERO/USDT,11.79316,12.27933,11.06649,11.22629,13702.11130838,158923.223011011997
1651449600,2022-05-02 00:00:00,DERO/USDT,11.24311,12.51987,11.10723,11.85067,15805.34062574,186804.8606916210658
1651363200,2022-05-01 00:00:00,DERO/USDT,11.20001,11.6,10.8625,11.2401,16588.67465697,186858.4438918002676
1651276800,2022-04-30 00:00:00,DERO/USDT,12.17035,12.23666,11.2,11.25691,15987.79055451,186262.5822136831207
1651190400,2022-04-29 00:00:00,DERO/USDT,12.6204,12.95002,12.01,12.18847,10544.01930649,130906.0288254271863
